animal_id,lrid,tag,rfid,nlis,is_new,draft,sex,dob,sire,dam,breed,colour,weaned,prev_tag,prev_pic,note,note_date,is_exported,is_history,is_deleted,tag_sorter,donordam,whp,esi,status_current,status_date,overall_adg,current_adg,last_weight,last_weight_date,selected,animal_group,current_farm,current_property,current_area,current_farm_date,current_property_date,current_area_date,animal_group_date,sex_date,breed_date,dob_date,colour_date,prev_pic_date,sire_date,dam_date,donordam_date,prev_tag_date,tag_date,rfid_date,nlis_date,modified,full_rfid,full_rfid_date
1876,0,9010,964001009986918,36US012011009010,0,"",Female,2011-04-03 00:00:00.000,"","",Cull,"",0,"","",cull,2019-07-24 06:49:26.000,0,0,0,"                            9010","",,,Sold,2019-10-11 14:52:08.075,-0.10,-1.33,39,2019-07-24 06:49:29.927,0,"AI 2018","","","",,,,2019-03-02 20:35:00.955,2015-09-04 15:43:45.684,2018-08-03 21:07:46.080,,,,,,,,,,,2019-10-11 14:52:08.075,"",
1877,0,10007,964001009986685,36US012011010007,0,"",Female,2011-02-01 00:00:00.000,"","",ARG,"Orange 16",0,"","","cull - both kids died",2019-05-13 08:47:22.000,0,0,0,"                           10007","",,,Dead,2019-08-22 20:32:40.139,-0.02,-0.04,122,2019-05-10 09:54:43.593,0,"7th BRD GRP","","","",,,,2019-03-02 19:22:22.862,2016-01-06 11:57:57.000,2018-08-12 08:49:54.093,,2016-09-16 11:32:41.509,,,,,,,,,2021-10-10 15:15:49.761,"",
1878,0,10009,964001009986616,36US012011010009,0,"",Female,2011-11-04 00:00:00.000,"",WAST03,"",SGM,0,"","","New Tag: 10009",2019-03-04 14:03:29.608,0,0,0,"                           10009","",,,Sold,2019-10-11 14:55:13.753,-0.02,2.25,119,2019-07-24 04:43:33.350,0,"","","","",,,,2024-01-13 07:30:48.098,2016-01-06 11:44:48.000,2024-01-13 07:30:48.098,,2019-03-04 10:42:55.546,,,2024-01-13 07:30:48.052,,,2019-03-04 14:03:29.487,,,2024-01-13 07:30:48.208,"",
1879,0,11044,964001009986941,36US012010011044,0,"",Female,2010-02-22 00:00:00.000,"","","",Black,0,"","","Found dead 1/22/18 NAC",2017-11-27 15:41:09.000,0,0,0,"                           11044","",,,Dead,2018-01-22 10:01:10.812,-0.04,0.35,148,2017-11-08 09:36:24.645,0,"","","","",,,,,2015-09-16 13:56:50.699,,,2015-11-18 15:31:12.783,,,,,,,,,2018-01-22 10:01:10.820,"",
1881,0,11021,964001009986622,36US012008011021,0,"",Female,2008-11-24 00:00:00.000,"",WAST02,Cull,"Orange 16",0,"","","euthanized/no teeth/ weak",2018-08-07 11:49:32.000,0,0,0,"                           11021","",,,Dead,2018-09-21 06:27:30.686,-0.05,-0.01,111,2018-08-07 11:49:33.876,0,"","","","",,,,,2015-09-16 09:48:22.826,2018-08-07 11:49:43.534,,2016-09-16 11:33:07.662,,,2024-01-13 07:32:57.144,,,,,,2024-01-13 07:32:57.222,"",
1882,0,12003,964001009986663,36US012011012040,0,"",Female,2011-06-30 00:00:00.000,"","",ARG,Black,0,12040,"","New Tag: 12003",2020-03-22 15:24:40.822,0,0,0,"                           12003","",,,Dead,2022-01-22 15:57:18.457,-0.02,-0.09,122.0,2019-05-22 12:50:54.140,0,"2nd BRD GRP","","","",,,,2019-03-02 15:38:41.357,2015-09-23 14:26:47.761,2018-08-12 08:49:55.434,,2015-11-18 15:28:45.797,,,,,2020-03-22 15:24:52.465,2020-03-22 15:24:40.531,,,2022-01-22 15:57:18.475,"",
1883,0,11034,964001009986655,36US012010011034,0,"",Female,2010-02-06 00:00:00.000,"","",Cull,"Orange 16",0,"","","2017 AI",2017-08-28 10:12:18.456,0,0,0,"                           11034","",,,Sold,2019-02-08 10:40:59.112,-0.02,-0.43,142.0,2018-11-05 14:14:19.676,0,"","","","",,,,,,2018-08-06 08:10:50.095,,2016-09-16 11:34:38.718,,,,,,,,,2019-02-08 10:40:59.113,"",
1884,0,9018,964001009986940,36US012010009018,0,"",Female,2010-01-25 00:00:00.000,"","","","",0,"","","New Tag: 9018",2015-03-03 10:06:04.000,0,0,0,"                            9018","",,,Sold,2016-05-23 11:31:45.813,0.02,0.00,120.0,2016-05-05 12:00:23.715,0,"","","","",,,,,2016-01-06 12:08:14.000,,,,,,,,,,,,2016-05-23 11:31:45.814,"",
1886,0,12086,964001027784136,36US012011012014,0,"",Female,2011-12-08 00:00:00.000,"",WAST02,ARG,"",0,9030,"","Cull no mmilk",2020-08-28 10:07:00.576,0,0,0,"                           12086","",,,Dead,2022-01-22 16:09:52.425,-0.01,-0.01,121,2020-12-14 14:01:43.126,0,"","","","",,,,2024-01-12 12:00:07.754,2015-09-16 09:15:09.272,2018-08-12 08:49:56.463,,2024-01-12 12:00:07.714,,,2024-01-12 12:00:07.535,,2020-04-07 15:42:53.466,2016-09-23 12:03:07.033,2020-04-07 15:42:03.915,,2024-01-12 12:00:08.296,"",
1888,0,011TUX,964001009987473,36US01201111CAPR,0,"",Male,2011-12-08 00:00:00.000,"","","","",0,"","","New EID: 964001009987473",2015-03-03 10:09:32.000,0,0,0,"                              11TUX","",,,Sold,2017-03-29 09:52:58.171,-0.05,-0.12,194.0,2017-01-30 11:40:06.157,0,"","","","",,,,,2024-01-11 18:51:37.604,,,,,,,,,2015-07-22 16:52:39.994,2015-07-22 16:29:25.174,,2024-01-11 18:51:37.604,"",
