animal_id,created,note,session_id,is_deleted,is_alert
1976,2015-02-24 16:01:29.125,"New EID: 964001009986631",9,0,0
1976,2015-02-24 16:02:56.701,"Previous Tag: 012012",9,0,0
1976,2015-02-24 16:02:56.853,"New Tag: 12012",9,0,0
1901,2015-02-24 16:05:35.783,"New EID: 964001009986628",9,0,0
1901,2015-02-24 16:06:32.234,"Previous Tag: 010005",9,0,0
1901,2015-02-24 16:06:32.394,"New Tag: 10005",9,0,0
1878,2015-02-24 16:10:31.976,"New EID: 964001009986616",9,0,0
1878,2015-02-24 16:10:46.110,"Previous Tag: 010009",9,0,0
1878,2015-02-24 16:10:46.261,"New Tag: 10009",9,0,0
1955,2015-02-24 16:13:30.215,"New EID: 964001009986625",9,0,0
1955,2015-02-24 16:13:46.650,"Previous Tag: 012073",9,0,0
1955,2015-02-24 16:13:46.801,"New Tag: 12073",9,0,0
2337,2015-02-24 16:30:41.579,"New EID: 964001009986633",9,0,0
2305,2015-02-24 16:32:52.106,"New EID: 964001009986635",9,0,0
2355,2015-02-24 16:36:37.761,"New EID: 964001009986629",9,0,0
2355,2015-02-24 16:56:18.494,"EID should be reassigned",9,0,0
2002,2015-02-26 12:11:42.775,"New EID: 964001009986634",10,0,0
2002,2015-02-26 12:11:58.765,"Previous Tag: 012024",10,0,0
2002,2015-02-26 12:11:58.916,"New Tag: 12024",10,0,0
2515,2015-02-26 12:12:52.207,"New EID: 964001009986632",10,0,0
2515,2015-02-26 12:13:53.290,"Previous Tag: 012078",10,0,0
2515,2015-02-26 12:13:53.442,"New Tag: 12078",10,0,0
1974,2015-02-26 12:15:26.107,"New EID: 964001009986645",10,0,0
1906,2015-02-26 12:17:00.949,"New EID: 964001009986644",10,0,0
1906,2015-02-26 12:17:11.883,"Previous Tag: 011012",10,0,0
1906,2015-02-26 12:17:12.262,"New Tag: 11012",10,0,0
1979,2015-02-26 12:19:26.731,"New EID: 964001009986620",10,0,0
1979,2015-02-26 12:19:45.790,"Previous Tag: 010010",10,0,0
1979,2015-02-26 12:19:45.958,"New Tag: 10010",10,0,0
1979,2015-02-26 12:21:20.773,Alice,10,0,0
1989,2015-02-26 12:22:43.375,"New EID: 964001009986642",10,0,0
1989,2015-02-26 12:22:53.387,"Previous Tag: 012013",10,0,0
1989,2015-02-26 12:22:53.560,"New Tag: 12013",10,0,0
1996,2015-02-26 12:24:04.487,"New EID: 964001009986641",10,0,0
1996,2015-02-26 12:24:59.086,"Previous Tag: 010006",10,0,0
1996,2015-02-26 12:24:59.236,"New Tag: 10006",10,0,0
2492,2015-02-26 12:25:24.005,"New EID: 964001009986640",10,0,0
2492,2015-02-26 12:25:44.246,"Previous Tag: 009015",10,0,0
2492,2015-02-26 12:25:44.518,"New Tag: 9015",10,0,0
1990,2015-02-26 12:26:06.460,"New EID: 964001009986639",10,0,0
1990,2015-02-26 12:26:42.382,"Previous Tag: 011047",10,0,0
1990,2015-02-26 12:26:42.533,"New Tag: 11047",10,0,0
1988,2015-02-26 12:27:01.043,"New EID: 964001009986638",10,0,0
1988,2015-02-26 12:27:14.394,"Previous Tag: 009022",10,0,0
1988,2015-02-26 12:27:14.543,"New Tag: 9022",10,0,0
1915,2015-02-26 12:27:52.044,"New EID: 964001009986637",10,0,0
1915,2015-02-26 12:28:14.902,"Previous Tag: 009009",10,0,0
1915,2015-02-26 12:28:15.057,"New Tag: 9009",10,0,0
1915,2015-02-26 12:29:15.229,"Tagged in right ear",10,0,0
1986,2015-02-26 12:29:43.467,"New EID: 964001009986636",10,0,0
1986,2015-02-26 12:30:02.840,"Previous Tag: 010021",10,0,0
1986,2015-02-26 12:30:03.019,"New Tag: 10021",10,0,0
1934,2015-02-26 12:30:41.965,"New EID: 964001009986643",10,0,0
1934,2015-02-26 12:31:22.438,"Previous Tag: 012116",10,0,0
1934,2015-02-26 12:31:22.635,"New Tag: 12116",10,0,0
1883,2015-02-26 12:32:08.615,"New EID: 964001009986655",10,0,0
1883,2015-02-26 12:33:03.092,"Previous Tag: 011034",10,0,0
1883,2015-02-26 12:33:03.359,"New Tag: 11034",10,0,0
2539,2015-02-26 12:33:28.448,"New EID: 964001009986654",10,0,0
2539,2015-02-26 12:33:44.618,"Previous Tag: 012119",10,0,0
2539,2015-02-26 12:33:44.775,"New Tag: 12119",10,0,0
1998,2015-02-26 12:34:17.489,"New EID: 964001009986653",10,0,0
1998,2015-02-26 12:34:29.434,"Previous Tag: 011006",10,0,0
1998,2015-02-26 12:34:29.584,"New Tag: 11006",10,0,0
2518,2015-02-26 12:37:11.459,"New EID: 964001009986652",10,0,0
2518,2015-02-26 12:37:21.288,"Previous Tag: 012082",10,0,0
2518,2015-02-26 12:37:21.554,"New Tag: 12082",10,0,0
1991,2015-02-26 12:38:08.656,"New EID: 964001009986651",10,0,0
1991,2015-02-26 12:39:16.037,"Previous Tag: 012037",10,0,0
1991,2015-02-26 12:39:16.187,"New Tag: 12037",10,0,0
1941,2015-02-26 12:39:49.800,"New EID: 964001009986650",10,0,0
1941,2015-02-26 12:40:45.367,"Previous Tag: 012032",10,0,0
1941,2015-02-26 12:40:45.519,"New Tag: 12032",10,0,0
1929,2015-02-26 12:41:11.380,"New EID: 964001009986646",10,0,0
1929,2015-02-26 12:41:19.951,"Previous Tag: 011050",10,0,0
1929,2015-02-26 12:41:20.101,"New Tag: 11050",10,0,0
1975,2015-02-26 12:42:01.471,"New EID: 964001009986647",10,0,0
1943,2015-02-26 12:44:43.955,"New EID: 964001009986649",10,0,0
1943,2015-02-26 12:44:56.233,"Previous Tag: 012020",10,0,0
1943,2015-02-26 12:44:56.384,"New Tag: 12020",10,0,0
2500,2015-02-26 12:45:29.295,"New EID: 964001009986648",10,0,0
2500,2015-02-26 12:45:41.110,"Previous Tag: 012061",10,0,0
2500,2015-02-26 12:45:41.268,"New Tag: 12061",10,0,0
1982,2015-02-26 12:46:38.811,"New EID: 964001009986674",10,0,0
1982,2015-02-26 12:46:53.277,"Previous Tag: 009020",10,0,0
1982,2015-02-26 12:46:53.547,"New Tag: 9020",10,0,0
1893,2015-02-26 12:47:31.107,"New EID: 964001009986617",10,0,0
1893,2015-02-26 12:47:40.809,"Previous Tag: 010002",10,0,0
1893,2015-02-26 12:47:40.961,"New Tag: 10002",10,0,0
2542,2015-02-26 12:48:36.539,"New EID: 964001009986672",10,0,0
2542,2015-02-26 12:48:50.407,"Previous Tag: 012121",10,0,0
2542,2015-02-26 12:48:50.558,"New Tag: 12121",10,0,0
1951,2015-02-26 12:49:55.448,"New EID: 964001009986666",10,0,0
1951,2015-02-26 12:50:09.222,"Previous Tag: 009024",10,0,0
1951,2015-02-26 12:50:09.377,"New Tag: 9024",10,0,0
1912,2015-02-26 12:50:44.521,"New EID: 964001009986669",10,0,0
1912,2015-02-26 12:51:10.048,"Previous Tag: 012028",10,0,0
1912,2015-02-26 12:51:10.202,"New Tag: 12028",10,0,0
1967,2015-02-26 12:51:33.229,"New EID: 964001009986670",10,0,0
1967,2015-02-26 12:52:20.577,"Previous Tag: 012016",10,0,0
1967,2015-02-26 12:52:20.733,"New Tag: 12016",10,0,0
1899,2015-02-26 12:53:13.932,"New EID: 964001009986668",10,0,0
1899,2015-02-26 12:53:27.045,"Previous Tag: 011008",10,0,0
1899,2015-02-26 12:53:27.310,"New Tag: 11008",10,0,0
1946,2015-02-26 12:53:51.214,"New EID: 964001009986673",10,0,0
1946,2015-02-26 12:54:02.538,"Previous Tag: 009023",10,0,0
1946,2015-02-26 12:54:02.688,"New Tag: 9023",10,0,0
1933,2015-02-26 12:54:33.641,"New EID: 964001009986667",10,0,0
1933,2015-02-26 12:54:43.024,"Previous Tag: 012047",10,0,0
1933,2015-02-26 12:54:43.288,"New Tag: 12047",10,0,0
1907,2015-02-26 12:55:34.394,"New EID: 964001009986675",10,0,0
1907,2015-02-26 12:55:44.157,"Previous Tag: 012111",10,0,0
1907,2015-02-26 12:55:44.307,"New Tag: 12111",10,0,0
1971,2015-02-26 12:56:44.620,"New EID: 964001009986665",10,0,0
1971,2015-02-26 12:56:57.283,"Previous Tag: 012001",10,0,0
1971,2015-02-26 12:56:57.439,"New Tag: 12001",10,0,0
1940,2015-02-26 12:57:31.403,"New EID: 964001009986671",10,0,0
1940,2015-02-26 12:57:39.180,"Previous Tag: 012019",10,0,0
1940,2015-02-26 12:57:39.335,"New Tag: 12019",10,0,0
1882,2015-02-26 12:58:03.832,"New EID: 964001009986663",10,0,0
1882,2015-02-26 12:58:16.189,"Previous Tag: 012040",10,0,0
1882,2015-02-26 12:58:16.343,"New Tag: 12040",10,0,0
2534,2015-02-26 12:58:33.556,"New EID: 964001009986664",10,0,0
2534,2015-02-26 12:58:40.906,"Previous Tag: 012112",10,0,0
